year,model
2000,civic
2001,civic
2002,civic
2003,civic
2004,civic
2005,civic
2006,civic
2007,civic
2008,civic
2009,civic
2010,civic
2011,civic
2012,civic
2013,civic
2014,civic
2015,civic
2016,civic
2017,civic
2000,accord
2001,accord
2002,accord
2003,accord
2004,accord
2005,accord
2006,accord
2007,accord
2008,accord
2009,accord
2010,accord
2011,accord
2012,accord
2013,accord
2014,accord
2015,accord
2016,accord
2017,accord
