Location,Title,Year,Model,Price,URL,Post_Date,Posting_Age
 (626),2005 Honda Civic EX-L,2005,civic,$12899,https://losangeles.craigslist.org/sgv/cto/d/2005-honda-civic-ex/6456463793.html,2018-01-11 16:11,-20
 (La Puente),2010 Honda Civic LX,2010,civic,$7800,https://losangeles.craigslist.org/lac/cto/d/2010-honda-civic-lx/6476664942.html,2018-01-28 22:11,-2
 (Van Nuys),2004 HONDA CIVIC HYBRID 5 SPEED MANUAL (CLEAN TITLE),2004,civic,$4988,https://losangeles.craigslist.org/sfv/cto/d/2004-honda-civic-hybrid-5/6477269285.html,2018-01-29 11:40,-2
 (van nuys),2004 Honda Civic Hybrid 5 Speed manual Low miles,2004,civic,$4988,https://losangeles.craigslist.org/sfv/cto/d/2004-honda-civic-hybrid-5/6476637160.html,2018-01-28 21:08,-2
 (Long Beach),2007 Honda Civic,2007,civic,$5450,https://losangeles.craigslist.org/lgb/cto/d/2007-honda-civic/6476926339.html,2018-01-29 07:28,-2
 (Bell gardens),2008 Honda Civic,2008,civic,$4900,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic/6477509187.html,2018-01-29 14:09,-2
 (GLENDALE),2010 Honda Civic LX,2010,civic,$7200,https://losangeles.craigslist.org/wst/cto/d/2010-honda-civic-lx/6477615331.html,2018-01-29 15:36,-2
 (Northridge),2006 Honda Civic,2006,civic,$4900,https://losangeles.craigslist.org/wst/cto/d/2006-honda-civic/6477306849.html,2018-01-29 11:31,-2
 (L.a),*@@*2008 HONDA CIVIC LX 4D**NO ACCIDENT*Low 86K**XLNT*SMOG DONE,2008,civic,$7150,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-lx-4dno/6469927170.html,2018-01-29 12:24,-2
 (Bell Gardens),HONDA CIVIC LX 2006 NICE CONDITION RUNS GOOD,2006,civic,$5100,https://losangeles.craigslist.org/lgb/cto/d/honda-civic-lx-2006-nice/6428293632.html,2018-01-13 20:44,-18
 (Pico Rivera),2010 Honda Civic,2010,civic,$7500,https://losangeles.craigslist.org/lgb/cto/d/2010-honda-civic/6458530859.html,2018-01-13 11:48,-18
 (San Gabriel),2008 Honda Civic Clearn Title 95000 miles,2008,civic,$5950,https://losangeles.craigslist.org/sgv/cto/d/2008-honda-civic-clearn/6459899960.html,2018-01-14 17:26,-17
 (Pico Rivera),2010 Honda Civic,2010,civic,$7500,https://losangeles.craigslist.org/lgb/cto/d/2010-honda-civic/6460662141.html,2018-01-15 11:04,-16
 (torrance),honda civic lx 2009,2009,civic,$5500,https://losangeles.craigslist.org/wst/cto/d/honda-civic-lx-2009/6460047944.html,2018-01-14 21:10,-16
 (Covina),2010 Honda Civic Coupe,2010,civic,$5900,https://losangeles.craigslist.org/sgv/cto/d/2010-honda-civic-coupe/6461609953.html,2018-01-16 07:37,-15
 (NEWHALL),2002 HONDA CIVIC,2002,civic,$2000,https://losangeles.craigslist.org/sfv/cto/d/2002-honda-civic/6463416725.html,2018-01-17 14:44,-14
 (Monterey park),2004 Honda Civic,2004,civic,$2400,https://losangeles.craigslist.org/lac/cto/d/2004-honda-civic/6464656757.html,2018-01-18 15:22,-13
 (Indio),"2008 Honda Civic ""Low Miles""",2008,civic,$5650,https://palmsprings.craigslist.org/cto/d/2008-honda-civic-low-miles/6463972817.html,2018-01-18 07:06,-13
 (whittier),2005 Honda Civic LX,2005,civic,$5800,https://losangeles.craigslist.org/lgb/cto/d/2005-honda-civic-lx/6461253127.html,2018-01-19 16:35,-12
 (Indio),2008 Honda Civic,2008,civic,$5650,https://losangeles.craigslist.org/lgb/cto/d/2008-honda-civic/6465133577.html,2018-01-19 06:35,-12
 (IRVINE),2007 honda civic NATURAL GAS ! 50K!!,2007,civic,$8500,https://losangeles.craigslist.org/lgb/cto/d/2007-honda-civic-natural-gas/6466150583.html,2018-01-19 22:11,-11
 (L.A),*$@*2008 HONDA CIVIC LX 4D**NO ACCIDENT*(LOW 86K)**XLNT*SMOG DONE,2008,civic,$7100,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-lx-4dno/6478333706.html,2018-01-30 09:15,-1
 (Whittier),2004 Honda Civic GX  CNG Powered  RIDE IN THE HOV LANE ALONE!!!!!!!!!!,2004,civic,$2900,https://losangeles.craigslist.org/lgb/cto/d/2004-honda-civic-gx-cng/6453716821.html,2018-01-30 19:40,-1
 (Los Angeles),2008 Honda Civic Sedan,2008,civic,$3900,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-sedan/6476203644.html,2018-01-30 16:15,-1
 (Los  Angeles),2008 HONDA  CIVIC  HYBRID  CLEAN  TITLE,2008,civic,$5500,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-hybrid-clean/6478415633.html,2018-01-30 10:07,-1
 (Los Angeles),2008 Honda Civic,2008,civic,$3900,https://losangeles.craigslist.org/lgb/cto/d/2008-honda-civic/6478903818.html,2018-01-30 16:14,-1
 (Santa Clarita),Black Honda Civic 2004 for sale,2004,civic,$4500,https://losangeles.craigslist.org/sfv/cto/d/black-honda-civic-2004-for/6478744037.html,2018-01-30 14:04,-1
 (burbank),2005 honda civic,2005,civic,$2600,https://losangeles.craigslist.org/sfv/cto/d/2005-honda-civic/6478922474.html,2018-01-30 16:32,-1
 (Santa Clarita),Black Honda Civic 2004 for sale,2004,civic,$4500,https://losangeles.craigslist.org/ant/cto/d/black-honda-civic-2004-for/6478752952.html,2018-01-30 14:13,-1
 (Valley village),2008 Honda Civic coupe low miles,2008,civic,$5700,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-coupe-low/6477889879.html,2018-01-29 20:53,-1
 (Van Nuys),2004 HONDA CIVIC HYBRID 5 SPEED MANUAL (CLEAN TITLE),2004,civic,$4988,https://losangeles.craigslist.org/sfv/cto/d/2004-honda-civic-hybrid-5/6478727241.html,2018-01-30 13:45,-1
 (Los ángeles),Honda Civic 2010,2010,civic,$5800,https://losangeles.craigslist.org/lac/cto/d/honda-civic-2010/6479003121.html,2018-01-30 17:58,-1
 (North Hollywood),Honda Civic Coupe!! 2005 Stick Shift!,2005,civic,$3800,https://losangeles.craigslist.org/lac/cto/d/honda-civic-coupe-2005-stick/6469562434.html,2018-01-30 11:36,-1
 (Long beach),2009 Honda Civic lx,2009,civic,$7800,https://losangeles.craigslist.org/lac/cto/d/2009-honda-civic-lx/6478112276.html,2018-01-30 06:31,-1
 (riverside),2007 Honda Civic,2007,civic,$7500,https://inlandempire.craigslist.org/cto/d/2007-honda-civic/6478979788.html,2018-01-30 17:32,-1
