year,model,Private_Price,Dealer_Price
2000,Civic,1892,1288
2001,Civic,2084,1388
2002,Civic,2297,1500
2003,Civic,2554,1725
2004,Civic,3206,1950
2005,Civic,3517,2235
2006,Civic,4880,2993
2007,Civic,5292,3406
2008,Civic,5400,3372
2009,Civic,5470,3661
2010,Civic,5526,4067
2011,Civic,6613,4409
2012,Civic,7208,5325
2013,Civic,7860,5235
2014,Civic,7719,5765
2015,Civic,8767,6390
2016,Civic,9815,7498
