Location,Title,Year,Model,Price,Avg_Price,URL,Post_Date,Posting_Age,z_score
 (Corona),2012 Honda Civic Natural Gas,2012,Civic,9000,7208,https://palmsprings.craigslist.org/cto/d/2012-honda-civic-natural-gas/6485014143.html,2018-02-05 02:17,12,0.2486126526082131
 (Corona),2012 Honda Civic Natural Gas,2012,Civic,9000,7208,https://orangecounty.craigslist.org/cto/d/2012-honda-civic-natural-gas/6485013990.html,2018-02-05 02:16,12,0.2486126526082131
 (Corona),2012 Honda Civic Natural Gas,2012,Civic,9000,7208,https://palmsprings.craigslist.org/cto/d/2012-honda-civic-natural-gas/6485014143.html,2018-02-05 02:17,12,0.2486126526082131
 (Riverside),2003 Honda Civic,2003,Civic,3200,2554,https://inlandempire.craigslist.org/cto/d/2003-honda-civic/6463849460.html,2018-01-18 04:24,30,0.2529365700861394
 (Santa Clarita),"2009 Honda Civic Sedan with 104k miles, Well Kept/1-Owner Clean Carfax",2009,Civic,6900,5470,https://losangeles.craigslist.org/sfv/cto/d/2009-honda-civic-sedan-with/6483740558.html,2018-02-13 20:49,3,0.26142595978062155
 (Irvine),2012 HONDA CIVIC EX * Super Low Miles & Low Price *,2012,Civic,9100,7208,https://orangecounty.craigslist.org/cto/d/2012-honda-civic-ex-super-low/6461604801.html,2018-01-18 08:03,30,0.2624861265260821
 (Gg),Honda Civic ex 2007,2007,Civic,6700,5292,https://orangecounty.craigslist.org/cto/d/honda-civic-ex-2007/6477732055.html,2018-01-29 17:26,19,0.2660619803476946
 (Sylmar),Honda Civic LX 2014,2014,Civic,9800,7719,https://losangeles.craigslist.org/sfv/cto/d/honda-civic-lx-2014/6492141583.html,2018-02-10 16:38,7,0.2695945070605001
 (Rosemead),Honda Civic 2013,2013,Civic,10000,7860,https://losangeles.craigslist.org/sgv/cto/d/honda-civic-2013/6478559210.html,2018-01-30 11:46,18,0.272264631043257
 (Rosemead),Honda Civic 2013,2013,Civic,10000,7860,https://losangeles.craigslist.org/sgv/cto/d/honda-civic-2013/6478559210.html,2018-01-30 11:46,18,0.272264631043257
 (Alhambra),2012 Honda Civic Lx- excellent condition.,2012,Civic,9200,7208,https://losangeles.craigslist.org/sgv/cto/d/2012-honda-civic-lx-excellent/6489792300.html,2018-02-13 18:16,4,0.2763596004439512
 (Murrieta),2009 Honda Civic,2009,Civic,7000,5470,https://inlandempire.craigslist.org/cto/d/2009-honda-civic/6498655214.html,2018-02-16 08:22,1,0.2797074954296161
 (Murrieta),2009 Honda Civic,2009,Civic,7000,5470,https://inlandempire.craigslist.org/cto/d/2009-honda-civic/6498655214.html,2018-02-16 08:22,1,0.2797074954296161
 (Alhambra),2011 Honda Civic EX  Clean Title,2011,Civic,8500,6613,https://losangeles.craigslist.org/sgv/cto/d/2011-honda-civic-ex-clean/6483925948.html,2018-02-07 10:16,10,0.2853470437017995
 (Costa mesa),2015 Honda Civic,2015,Civic,11295,8767,https://orangecounty.craigslist.org/cto/d/2015-honda-civic/6498613909.html,2018-02-16 07:55,1,0.28835405497889816
 (Costa mesa),2015 Honda Civic,2015,Civic,11295,8767,https://orangecounty.craigslist.org/cto/d/2015-honda-civic/6498613909.html,2018-02-16 07:55,1,0.28835405497889816
 (Costa mesa),2015 Honda Civic,2015,Civic,11295,8767,https://orangecounty.craigslist.org/cto/d/2015-honda-civic/6498613909.html,2018-02-16 07:55,1,0.28835405497889816
 (Escondido),2014 Honda Civic LX,2014,Civic,10000,7719,https://sandiego.craigslist.org/csd/cto/d/2014-honda-civic-lx/6498750067.html,2018-02-16 09:22,1,0.2955045990413266
 (LA (KOREA TOWN)),2008 HONDA CIVIC LX   !!! NO ACCIDENT GOOD CONDITION,2008,Civic,7000,5400,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-lx-no/6488010204.html,2018-02-16 12:57,1,0.2962962962962963
 (Pomona),2008 Honda Civic LX Sedan 4D,2008,Civic,7000,5400,https://inlandempire.craigslist.org/cto/d/2008-honda-civic-lx-sedan-4d/6496595934.html,2018-02-16 14:18,1,0.2962962962962963
" (Glendale, CA)",2008 Honda Civic Si,2008,Civic,7000,5400,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-si/6491975776.html,2018-02-10 13:56,7,0.2962962962962963
 (Garden Grove),"2010 Honda Civic, 107k miles, silver",2010,Civic,7200,5526,https://orangecounty.craigslist.org/cto/d/2010-honda-civic-107k-miles/6489699371.html,2018-02-16 15:47,1,0.30293159609120524
 (Norwalk),2010 Honda Civic LA,2010,Civic,7200,5526,https://losangeles.craigslist.org/lgb/cto/d/2010-honda-civic-la/6464637626.html,2018-02-08 10:58,9,0.30293159609120524
 (Norwalk),2010 Honda Civic LA,2010,Civic,7200,5526,https://orangecounty.craigslist.org/cto/d/2010-honda-civic-la/6464637762.html,2018-02-08 10:58,9,0.30293159609120524
 (Norwalk),2010 Honda Civic LA,2010,Civic,7200,5526,https://inlandempire.craigslist.org/cto/d/2010-honda-civic-la/6464637925.html,2018-02-08 10:58,9,0.30293159609120524
 (Norwalk),2010 Honda Civic LA,2010,Civic,7200,5526,https://sandiego.craigslist.org/nsd/cto/d/2010-honda-civic-la/6464638108.html,2018-02-08 10:59,9,0.30293159609120524
 (Norwalk),2010 Honda Civic LA,2010,Civic,7200,5526,https://inlandempire.craigslist.org/cto/d/2010-honda-civic-la/6464637925.html,2018-02-08 10:58,9,0.30293159609120524
 (Norwalk),2010 Honda Civic LA,2010,Civic,7200,5526,https://orangecounty.craigslist.org/cto/d/2010-honda-civic-la/6464637762.html,2018-02-08 10:58,9,0.30293159609120524
 (Norwalk),2010 Honda Civic LA,2010,Civic,7200,5526,https://inlandempire.craigslist.org/cto/d/2010-honda-civic-la/6464637925.html,2018-02-08 10:58,9,0.30293159609120524
 (L.a),**@2008 HONDA CIVIC LX 4D**NO ACCIDENT*Low 87K**XLNT**SMOG DONE,2008,Civic,7050,5400,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-lx-4dno/6474960774.html,2018-02-09 13:24,8,0.3055555555555556
 (san bernardino),2015 Honda Civic LX,2015,Civic,11499,8767,https://losangeles.craigslist.org/sgv/cto/d/2015-honda-civic-lx/6494406063.html,2018-02-12 15:45,5,0.3116231322002966
 (san bernardino),2015 Honda Civic LX,2015,Civic,11499,8767,https://sandiego.craigslist.org/nsd/cto/d/2015-honda-civic-lx/6493225133.html,2018-02-11 17:26,6,0.3116231322002966
 (san bernardino),2015 Honda Civic LX,2015,Civic,11499,8767,https://inlandempire.craigslist.org/cto/d/2015-honda-civic-lx/6493166906.html,2018-02-11 16:21,6,0.3116231322002966
 (san bernardino),2015 Honda Civic LX,2015,Civic,11499,8767,https://orangecounty.craigslist.org/cto/d/2015-honda-civic-lx/6493190329.html,2018-02-11 16:46,6,0.3116231322002966
 (L.A),*$@*2008 HONDA CIVIC LX 4D**NO ACCIDENT*(LOW 86K)**XLNT*SMOG DONE,2008,Civic,7100,5400,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-lx-4dno/6478333706.html,2018-02-14 10:49,3,0.3148148148148148
 (Saber springs),"2011 Honda Civic LX-S, Single Owner, Clean Title",2011,Civic,8700,6613,https://sandiego.craigslist.org/csd/cto/d/2011-honda-civic-lx-single/6486842766.html,2018-02-06 11:30,11,0.3155905035536065
 (Riverside),Honda Civic 2012 Like New,2012,Civic,9499,7208,https://inlandempire.craigslist.org/cto/d/honda-civic-2012-like-new/6480006820.html,2018-01-31 14:31,17,0.3178412874583796
 (Montclair),Honda Civic LX sedan 2016,2016,Civic,12990,9815,https://inlandempire.craigslist.org/cto/d/honda-civic-lx-sedan-2016/6497763626.html,2018-02-15 12:19,2,0.3234844625573102
 (Montclair),Nice 2016 Honda Civic LX 20k miles,2016,Civic,12990,9815,https://inlandempire.craigslist.org/cto/d/nice-2016-honda-civic-lx-20k/6496494175.html,2018-02-14 11:09,3,0.3234844625573102
 (Los Angels),@@*2008 HONDA CIVIC LX 4D**NO ACCIDENT*86K**XLNT*SMOG DONE,2008,Civic,7150,5400,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-lx-4dno/6468694966.html,2018-02-16 09:16,1,0.32407407407407407
 (L.a),*@@*2008 HONDA CIVIC LX 4D**NO ACCIDENT*Low 86K**XLNT*SMOG DONE,2008,Civic,7150,5400,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-lx-4dno/6469927170.html,2018-02-12 15:55,5,0.32407407407407407
 (CHINO),2009 Honda Civic EX Fully Loaded Excellent Condition!,2009,Civic,7250,5470,https://losangeles.craigslist.org/sgv/cto/d/2009-honda-civic-ex-fully/6492210886.html,2018-02-10 18:03,7,0.32541133455210236
 (Pico Rivera),Honda Civic 2011,2011,Civic,8800,6613,https://losangeles.craigslist.org/sgv/cto/d/honda-civic-2011/6485668772.html,2018-02-05 12:28,12,0.33071223347951006
 (INLAND EMPIRE),2013 HONDA CIVIC HF WHITE SEDAN,2013,Civic,10499,7860,https://orangecounty.craigslist.org/cto/d/2013-honda-civic-hf-white/6496891555.html,2018-02-14 16:48,3,0.33575063613231554
 (INLAND EMPIRE),2013 HONDA CIVIC HF WHITE SEDAN,2013,Civic,10499,7860,https://orangecounty.craigslist.org/cto/d/2013-honda-civic-hf-white/6496891555.html,2018-02-14 16:48,3,0.33575063613231554
 (East Lake Chula Vista),2013 Honda civic,2013,Civic,10500,7860,https://sandiego.craigslist.org/ssd/cto/d/2013-honda-civic/6464722010.html,2018-01-18 16:26,30,0.33587786259541985
 (Ontario),Nice 2015 Honda Civic LX sedan,2015,Civic,11800,8767,https://inlandempire.craigslist.org/cto/d/nice-2015-honda-civic-lx-sedan/6472701198.html,2018-02-16 11:34,1,0.3459564275122619
 (Buena Park),2013 Honda Civic - Excellent Condition $10600,2013,Civic,10600,7860,https://orangecounty.craigslist.org/cto/d/2013-honda-civic-excellent/6481562221.html,2018-02-01 21:27,15,0.3486005089058524
 (Culver City),Silver Honda Civic 2012 LX,2012,Civic,9800,7208,https://losangeles.craigslist.org/wst/cto/d/silver-honda-civic-2012-lx/6498960272.html,2018-02-16 11:36,1,0.35960044395116536
 (Westwood),2012 Honda Civic LX  Clean Title,2012,Civic,9850,7208,https://losangeles.craigslist.org/wst/cto/d/2012-honda-civic-lx-clean/6478369951.html,2018-01-30 09:37,18,0.3665371809100999
 (Inland Empire),2003 Honda Civic,2003,Civic,3500,2554,https://inlandempire.craigslist.org/cto/d/2003-honda-civic/6489465045.html,2018-02-08 13:15,9,0.370399373531715
 (Inland Empire),2003 Honda Civic,2003,Civic,3500,2554,https://inlandempire.craigslist.org/cto/d/2003-honda-civic/6489465045.html,2018-02-08 13:15,9,0.370399373531715
 (Long beach),2009 Honda Civic lx,2009,Civic,7500,5470,https://losangeles.craigslist.org/lac/cto/d/2009-honda-civic-lx/6478112276.html,2018-02-15 17:41,2,0.3711151736745887
 (Riverside/Moreno Valley),2009 Honda Civic ex,2009,Civic,7500,5470,https://inlandempire.craigslist.org/cto/d/2009-honda-civic-ex/6465397213.html,2018-01-19 09:48,29,0.3711151736745887
 (Carlsbad),2006 Honda Civic Sedan,2006,Civic,6700,4880,https://sandiego.craigslist.org/nsd/cto/d/2006-honda-civic-sedan/6485543658.html,2018-02-05 11:06,12,0.3729508196721312
 (Rancho Cucamonga),"2012 Honda Civic Coupe LX, White, Auto, 54 k mi, One Owner, Exc. Cond.",2012,Civic,9900,7208,https://inlandempire.craigslist.org/cto/d/2012-honda-civic-coupe-lx/6478932370.html,2018-02-16 18:16,1,0.3734739178690344
 (gardena),"2010 HONDA CIVIC COUPE EX, GARDENA",2010,Civic,7600,5526,https://losangeles.craigslist.org/lgb/cto/d/2010-honda-civic-coupe-ex/6494732216.html,2018-02-12 23:41,4,0.37531668476293883
 (Cypress),2012 HONDA CIVIC EX SEDAN LOW MILES!,2012,Civic,9950,7208,https://orangecounty.craigslist.org/cto/d/2012-honda-civic-ex-sedan-low/6498955241.html,2018-02-16 11:33,1,0.38041065482796893
 (Fullerton),2016 HONDA CIVIC LX/CLEAN TITLE/33k Miles,2016,Civic,13590,9815,https://orangecounty.craigslist.org/cto/d/2016-honda-civic-lx-clean/6494634746.html,2018-02-12 20:01,4,0.38461538461538464
 (Fountain Valley),2014 Honda Civic,2014,Civic,10700,7719,https://orangecounty.craigslist.org/cto/d/2014-honda-civic/6465941073.html,2018-02-15 12:44,2,0.38618992097421945
 (Ocean Beach),Honda Civic Hybrid 2012 - 40k Miles - Excellent - Leather,2012,Civic,9995,7208,https://sandiego.craigslist.org/csd/cto/d/honda-civic-hybridk-miles/6494544146.html,2018-02-12 18:03,5,0.38665371809101
 (Wilmington),Dependable 2012 Honda Civic LX 4dr Sedan,2012,Civic,9995,7208,https://losangeles.craigslist.org/lgb/cto/d/dependable-2012-honda-civic/6451676456.html,2018-02-03 13:55,14,0.38665371809101
 (Wilmington),Reliable 2012 Honda Civic LX 4dr Sedan,2012,Civic,9995,7208,https://losangeles.craigslist.org/lac/cto/d/reliable-2012-honda-civic-lx/6451689445.html,2018-02-03 13:57,14,0.38665371809101
 (Bloomington ca),2013 Hoda civic EX-L  like New,2013,Civic,10900,7860,https://losangeles.craigslist.org/lac/cto/d/2013-hoda-civic-ex-like-new/6497415421.html,2018-02-15 08:25,2,0.38676844783715014
 (Bloomington ca),2013 Hoda civic EX-L  like New,2013,Civic,10900,7860,https://losangeles.craigslist.org/lac/cto/d/2013-hoda-civic-ex-like-new/6497415421.html,2018-02-15 08:25,2,0.38676844783715014
 (Bloomington ca),2013 Hoda civic EX-L  immaculate,2013,Civic,10900,7860,https://inlandempire.craigslist.org/cto/d/2013-hoda-civic-ex-immaculate/6488455571.html,2018-02-14 17:37,3,0.38676844783715014
 (San Clemente),2012 Civic LX (63k miles),2012,Civic,9999,7208,https://orangecounty.craigslist.org/cto/d/2012-civic-lx-63k-miles/6483741471.html,2018-02-03 15:56,14,0.3872086570477247
" (Torrance, CA)",2012 Honda Civic LE Sedan 74k mileage,2012,Civic,10000,7208,https://losangeles.craigslist.org/wst/cto/d/2012-honda-civic-le-sedan-74k/6493518818.html,2018-02-12 04:54,5,0.3873473917869034
 (Pacific Beach),*LOW MILES*2008 Honda Civic 4Dr Ex-L Navi,2008,Civic,7500,5400,https://sandiego.craigslist.org/csd/cto/d/low-miles2008-honda-civic-4dr/6456674770.html,2018-01-29 16:56,19,0.3888888888888889
 (Riverside),2001 Honda Civic clean title Low miles,2001,Civic,2900,2084,https://inlandempire.craigslist.org/cto/d/2001-honda-civic-clean-title/6494318085.html,2018-02-12 14:33,5,0.3915547024952015
 (Norwalk),2016 HONDA CIVIC LX/CLEAN TITLE/33k Miles,2016,Civic,13690,9815,https://losangeles.craigslist.org/lgb/cto/d/2016-honda-civic-lx-clean/6498308149.html,2018-02-15 22:13,1,0.3948038716250637
 (Norwalk),2016 HONDA CIVIC LX/CLEAN TITLE/33k Miles,2016,Civic,13690,9815,https://losangeles.craigslist.org/lgb/cto/d/2016-honda-civic-lx-clean/6498308149.html,2018-02-15 22:13,1,0.3948038716250637
 (INLAND EMPIRE),2013 HONDA CIVIC HF WHITE SEDAN,2013,Civic,10994,7860,https://inlandempire.craigslist.org/cto/d/2013-honda-civic-hf-white/6479472470.html,2018-02-16 09:25,1,0.3987277353689567
 (La Palma),2013 Honda Civic 4D Sedan,2013,Civic,11000,7860,https://orangecounty.craigslist.org/cto/d/2013-honda-civic-4d-sedan/6486153314.html,2018-02-05 19:52,11,0.3994910941475827
 (Oceanside),2010 HONDA CIVIC CLEAN TITLE!!!!,2010,Civic,7750,5526,https://sandiego.craigslist.org/nsd/cto/d/2010-honda-civic-clean-title/6478576227.html,2018-01-30 11:55,18,0.40246109301483896
 (Mar Vista/Culver City),2004 Honda Civic Sedan 98k Miles - $4500 (Culver City),2004,Civic,4500,3206,https://losangeles.craigslist.org/wst/cto/d/2004-honda-civic-sedan-98k/6489161684.html,2018-02-08 09:44,9,0.40361821584529006
 (West Covina),2014 Honda Civic LX,2014,Civic,10850,7719,https://losangeles.craigslist.org/sgv/cto/d/2014-honda-civic-lx/6475244563.html,2018-02-13 16:51,4,0.40562248995983935
 (Brea),"2016 Honda Civic LX, 34k Miles, Clean Title",2016,Civic,13800,9815,https://orangecounty.craigslist.org/cto/d/2016-honda-civic-lx-34k-miles/6458706583.html,2018-02-11 15:20,6,0.40601120733571067
 (Irvine),2011 Honda Civic EX-L Clean title Low mileage,2011,Civic,9300,6613,https://losangeles.craigslist.org/wst/cto/d/2011-honda-civic-ex-clean/6497787871.html,2018-02-15 12:37,2,0.4063208831090277
 (irvine),2011 Honda Civic EX-L Clean title Low mileage,2011,Civic,9300,6613,https://orangecounty.craigslist.org/cto/d/2011-honda-civic-ex-clean/6497787532.html,2018-02-15 12:37,2,0.4063208831090277
 (Irvine),2011 Honda Civic EX-L Clean title Low mileage,2011,Civic,9300,6613,https://losangeles.craigslist.org/wst/cto/d/2011-honda-civic-ex-clean/6497787871.html,2018-02-15 12:37,2,0.4063208831090277
 (venice),"2010 Honda Civic EX , 68 kmiles",2010,Civic,7800,5526,https://losangeles.craigslist.org/wst/cto/d/2010-honda-civic-ex-68-kmiles/6495615145.html,2018-02-16 13:01,1,0.41150922909880566
 (Irvine),Honda Civic 2010,2010,Civic,7800,5526,https://orangecounty.craigslist.org/cto/d/honda-civic-2010/6491218447.html,2018-02-13 10:38,4,0.41150922909880566
 (CHULA VISTA),2014 HONDA CIVIC,2014,Civic,10900,7719,https://sandiego.craigslist.org/csd/cto/d/2014-honda-civic/6496861395.html,2018-02-14 16:16,3,0.412100012955046
 (CHULA VISTA),2014 HONDA CIVIC,2014,Civic,10900,7719,https://sandiego.craigslist.org/csd/cto/d/2014-honda-civic/6496861395.html,2018-02-14 16:16,3,0.412100012955046
 (Montclair),"2016 Honda Civic LX, Clean Title 34k Miles",2016,Civic,13900,9815,https://inlandempire.craigslist.org/cto/d/2016-honda-civic-lx-clean/6461220759.html,2018-02-13 10:20,4,0.4161996943453897
 (Montclair),"2016 Honda Civic LX, Clean Title 34k Miles",2016,Civic,13900,9815,https://inlandempire.craigslist.org/cto/d/2016-honda-civic-lx-clean/6461220759.html,2018-02-13 10:20,4,0.4161996943453897
 (SAN GABRIEL),2016 Honda Civic LX,2016,Civic,13900,9815,https://losangeles.craigslist.org/sgv/cto/d/2016-honda-civic-lx/6459705320.html,2018-02-12 03:22,5,0.4161996943453897
 (Covina),"2016 Honda Civic LX, 4 Door, Black, 34k Miles",2016,Civic,13900,9815,https://losangeles.craigslist.org/sgv/cto/d/2016-honda-civic-lx-4-door/6461060204.html,2018-02-11 11:39,6,0.4161996943453897
 (Covina),"2016 Honda Civic LX, 4 Door, Black, 34k Miles",2016,Civic,13900,9815,https://losangeles.craigslist.org/sgv/cto/d/2016-honda-civic-lx-4-door/6461060204.html,2018-02-11 11:39,6,0.4161996943453897
 (riverside),2007 Honda Civic,2007,Civic,7500,5292,https://inlandempire.craigslist.org/cto/d/2007-honda-civic/6478979788.html,2018-02-15 07:00,2,0.41723356009070295
 (Santa Ana),"2014 Honda Civic EX 4D Sedan (Fully loaded, Clean Title)",2014,Civic,10995,7719,https://orangecounty.craigslist.org/cto/d/2014-honda-civic-ex-4d-sedan/6478804787.html,2018-02-16 11:55,1,0.4244073066459386
 (Los Angeles),2014 Honda Civic LX,2014,Civic,11000,7719,https://losangeles.craigslist.org/lac/cto/d/2014-honda-civic-lx/6492129896.html,2018-02-10 16:25,7,0.42505505894545925
 (Hesperia),2014 Honda Civic 4D Sedan Lx,2014,Civic,11000,7719,https://inlandempire.craigslist.org/cto/d/2014-honda-civic-4d-sedan-lx/6485776446.html,2018-02-05 13:43,12,0.42505505894545925
 (Glendale),2012 Honda Civic LX One Owner very low miles like new well maintained,2012,Civic,10299,7208,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic-lx-one-owner/6499437280.html,2018-02-16 18:08,1,0.42882907880133186
 (Sherman Oaks),"2012 Honda Civic EX  60,200 miles",2012,Civic,10300,7208,https://losangeles.craigslist.org/sfv/cto/d/2012-honda-civic-exmiles/6491778942.html,2018-02-16 06:49,1,0.42896781354051056
 (Carlsbad),"2-owner, clean title, 71k miles 2008 Honda Civic",2008,Civic,7750,5400,https://sandiego.craigslist.org/nsd/cto/d/2-owner-clean-title-71k-miles/6448483205.html,2018-01-26 13:49,22,0.4351851851851852
 (IRVINE),2011 Honda Civic LX Coupe 2D. Low mileage. Clean title $9500,2011,Civic,9500,6613,https://orangecounty.craigslist.org/cto/d/2011-honda-civic-lx-coupe-2d/6490985517.html,2018-02-09 17:11,8,0.43656434296083474
 (Del Cerro),2011 Honda Civic Very Good Condition,2011,Civic,9500,6613,https://sandiego.craigslist.org/csd/cto/d/2011-honda-civic-very-good/6481479784.html,2018-02-08 18:00,9,0.43656434296083474
 (Oceanside),2008 SI CIVIC LOW MILES ! CUSTOM PAINT CLEAN TITLE 6 SPEED!!,2008,Civic,7777,5400,https://sandiego.craigslist.org/csd/cto/d/2008-si-civic-low-miles/6465927570.html,2018-02-12 12:34,5,0.4401851851851852
 (Lancaster),2010 Honda Civic LX (OBO),2010,Civic,8000,5526,https://losangeles.craigslist.org/ant/cto/d/2010-honda-civic-lx-obo/6489382468.html,2018-02-08 12:14,9,0.44770177343467243
 (Pomona),2010 Honda Civic EX Coupe 2 Door Automatic Clean Title O.B.O.,2010,Civic,8000,5526,https://losangeles.craigslist.org/sgv/cto/d/2010-honda-civic-ex-coupe-2/6487120962.html,2018-02-06 14:51,11,0.44770177343467243
 (Pomona),2010 Honda Civic EX Coupe 2 Door Automatic Clean Title O.B.O.,2010,Civic,8000,5526,https://losangeles.craigslist.org/sgv/cto/d/2010-honda-civic-ex-coupe-2/6487120962.html,2018-02-06 14:51,11,0.44770177343467243
 (Pomona),2010 Honda Civic EX Coupe 2 Door Automatic Clean Title O.B.O.,2010,Civic,8000,5526,https://inlandempire.craigslist.org/cto/d/2010-honda-civic-ex-coupe-2/6486077281.html,2018-02-05 18:14,12,0.44770177343467243
 (Irvine),2010 Honda Civic 4dr lx 73k miles,2010,Civic,8000,5526,https://orangecounty.craigslist.org/cto/d/2010-honda-civic-4dr-lx-73k/6451389925.html,2018-02-05 13:58,12,0.44770177343467243
 (Carlsbad),GREAT DEAL!!! 2009 Honda Civic Coupe,2009,Civic,7950,5470,https://sandiego.craigslist.org/nsd/cto/d/great-deal-2009-honda-civic/6492826255.html,2018-02-11 11:18,6,0.453382084095064
 (Torrance),Honda Civic 2015 LX 18k miles Clean Title,2015,Civic,12750,8767,https://losangeles.craigslist.org/wst/cto/d/honda-civic-2015-lx-18k-miles/6481034191.html,2018-02-01 12:15,16,0.45431732633740163
 (EASTVALE),"2007 HONDA CIVIC EX WITH ONLY 72,500 MILES",2007,Civic,7700,5292,https://inlandempire.craigslist.org/cto/d/2007-honda-civic-ex-with/6498230905.html,2018-02-15 19:44,1,0.455026455026455
 (EASTVALE),"2007 HONDA CIVIC EX - WITH ONLY 72,500 MILES",2007,Civic,7700,5292,https://orangecounty.craigslist.org/cto/d/2007-honda-civic-ex-with/6498231399.html,2018-02-15 19:45,1,0.455026455026455
 (EASTVALE),"2007 HONDA CIVIC EX - WITH ONLY 72,500 MILES",2007,Civic,7700,5292,https://orangecounty.craigslist.org/cto/d/2007-honda-civic-ex-with/6498231399.html,2018-02-15 19:45,1,0.455026455026455
" (Vista, CA)",2007 Honda Civic Si Coupe,2007,Civic,7700,5292,https://sandiego.craigslist.org/nsd/cto/d/2007-honda-civic-si-coupe/6468272658.html,2018-02-02 10:58,15,0.455026455026455
 (Long Beach),2012 Honda Civic EX Coupe,2012,Civic,10500,7208,https://losangeles.craigslist.org/lgb/cto/d/2012-honda-civic-ex-coupe/6481477186.html,2018-02-01 19:04,15,0.4567147613762486
 (West Covina),2012 Honda Civic EX Coupe,2012,Civic,10500,7208,https://losangeles.craigslist.org/sgv/cto/d/2012-honda-civic-ex-coupe/6478837750.html,2018-01-30 15:13,18,0.4567147613762486
 (Baldwin Park),2009 Honda Civic Si Coupe,2009,Civic,7999,5470,https://losangeles.craigslist.org/lac/cto/d/2009-honda-civic-si-coupe/6471627951.html,2018-02-02 22:18,14,0.4623400365630713
 (Encinitas),2013 Honda Civic Ex,2013,Civic,11500,7860,https://sandiego.craigslist.org/nsd/cto/d/2013-honda-civic-ex/6469104292.html,2018-02-12 12:55,5,0.4631043256997455
 (Hesperia),2011 Honda Civic Si Sedan,2011,Civic,9700,6613,https://inlandempire.craigslist.org/cto/d/2011-honda-civic-si-sedan/6477636993.html,2018-01-29 15:53,19,0.4668078028126418
 (Los Angeles),2015 Honda Civic LX,2015,Civic,12900,8767,https://losangeles.craigslist.org/lac/cto/d/2015-honda-civic-lx/6497885418.html,2018-02-15 13:49,2,0.471426941941371
 (Santa Clarita),"2015 Honda Civic LX with 34k miles, 1-Owner Clean Carfax, Well Kept",2015,Civic,12900,8767,https://losangeles.craigslist.org/sfv/cto/d/2015-honda-civic-lx-with-34k/6496593344.html,2018-02-14 12:21,3,0.471426941941371
 (Mentone),2015 Honda Civic LX,2015,Civic,12900,8767,https://inlandempire.craigslist.org/cto/d/2015-honda-civic-lx/6491998162.html,2018-02-10 14:15,7,0.471426941941371
 (huntington beach),2015 Honda Civic SE black 4dr low miles original owner,2015,Civic,12900,8767,https://orangecounty.craigslist.org/cto/d/2015-honda-civic-se-black-4dr/6454128394.html,2018-02-08 14:43,9,0.471426941941371
 (huntington beach),2015 Honda Civic SE black 4dr low miles original owner,2015,Civic,12900,8767,https://inlandempire.craigslist.org/cto/d/2015-honda-civic-se-black-4dr/6469466371.html,2018-02-08 14:43,9,0.471426941941371
 (huntington beach),2015 Honda Civic SE black 4dr low miles original owner,2015,Civic,12900,8767,https://orangecounty.craigslist.org/cto/d/2015-honda-civic-se-black-4dr/6469466571.html,2018-02-08 14:43,9,0.471426941941371
 (huntington beach),2015 Honda Civic SE black 4dr low miles original owner,2015,Civic,12900,8767,https://orangecounty.craigslist.org/cto/d/2015-honda-civic-se-black-4dr/6454128394.html,2018-02-08 14:43,9,0.471426941941371
 (huntington beach),2015 Honda Civic SE black 4dr low miles original owner,2015,Civic,12900,8767,https://inlandempire.craigslist.org/cto/d/2015-honda-civic-se-black-4dr/6469466371.html,2018-02-08 14:43,9,0.471426941941371
 (huntington beach),2015 Honda Civic SE black 4dr low miles original owner,2015,Civic,12900,8767,https://orangecounty.craigslist.org/cto/d/2015-honda-civic-se-black-4dr/6469466571.html,2018-02-08 14:43,9,0.471426941941371
 (huntington beach),2015 Honda Civic SE black 4dr low miles original owner,2015,Civic,12900,8767,https://inlandempire.craigslist.org/cto/d/2015-honda-civic-se-black-4dr/6454127964.html,2018-02-02 12:25,15,0.471426941941371
 (san bernardino),2014 Honda Civic LX,2014,Civic,11399,7719,https://orangecounty.craigslist.org/cto/d/2014-honda-civic-lx/6496991231.html,2018-02-14 19:01,2,0.4767456924472082
 (san bernardino),2014 Honda Civic LX,2014,Civic,11399,7719,https://losangeles.craigslist.org/sgv/cto/d/2014-honda-civic-lx/6497029605.html,2018-02-14 20:06,2,0.4767456924472082
 (san bernardino),2014 Honda Civic LX,2014,Civic,11399,7719,https://sandiego.craigslist.org/nsd/cto/d/2014-honda-civic-lx/6497004683.html,2018-02-14 19:23,2,0.4767456924472082
 (san bernardino),2014 Honda Civic LX,2014,Civic,11399,7719,https://orangecounty.craigslist.org/cto/d/2014-honda-civic-lx/6496991231.html,2018-02-14 19:01,2,0.4767456924472082
 (san bernardino),2014 Honda Civic LX,2014,Civic,11399,7719,https://losangeles.craigslist.org/sgv/cto/d/2014-honda-civic-lx/6497029605.html,2018-02-14 20:06,2,0.4767456924472082
