Location,Title,Year,Model,Price,Avg_Price,URL,Post_Date,Posting_Age,z_score
 (Upland),2008 Honda civic coupe  $5500,2008,Civic,5500,5400,https://inlandempire.craigslist.org/cto/d/2008-honda-civic-coupe-5500/6466078587.html,2018-02-14 15:14,3,0.018518518518518517
 (Los angeles),Honda civic 2008,2008,Civic,5500,5400,https://losangeles.craigslist.org/lac/cto/d/honda-civic-2008/6470731074.html,2018-02-12 22:54,4,0.018518518518518517
 (Los angeles),Honda civic 2008,2008,Civic,5500,5400,https://losangeles.craigslist.org/lac/cto/d/honda-civic-2008/6492550479.html,2018-02-13 11:49,4,0.018518518518518517
 (Eastvale),2007 Honda Civic ex,2007,Civic,5400,5292,https://inlandempire.craigslist.org/cto/d/2007-honda-civic-ex/6479199689.html,2018-01-31 00:33,17,0.02040816326530612
 (LOS Angeles LA),HONDA CIVIC 2015 EX 4DOOR MOONROOF side camara automatico,2015,Civic,8996,8767,https://losangeles.craigslist.org/lac/cto/d/honda-civic-2015-ex-4door/6471990095.html,2018-01-24 20:33,23,0.026120679822059997
 (Gardena),2008 Civic coupe EX,2008,Civic,5600,5400,https://losangeles.craigslist.org/lgb/cto/d/2008-civic-coupe-ex/6492691121.html,2018-02-14 19:58,2,0.037037037037037035
 (Fontana),2007 Honda Civic EX,2007,Civic,5500,5292,https://inlandempire.craigslist.org/cto/d/2007-honda-civic-ex/6476720122.html,2018-01-29 01:53,19,0.039304610733182165
 (La Verne),2012 Honda Civic- LX 4d,2012,Civic,7500,7208,https://inlandempire.craigslist.org/cto/d/2012-honda-civic-lx-4d/6494609687.html,2018-02-12 19:25,4,0.04051054384017758
 (Indio),2008 Honda Civic,2008,Civic,5650,5400,https://losangeles.craigslist.org/lgb/cto/d/2008-honda-civic/6465133577.html,2018-01-19 06:35,29,0.046296296296296294
 (Indio),2008 Honda Civic,2008,Civic,5650,5400,https://losangeles.craigslist.org/lgb/cto/d/2008-honda-civic/6465133577.html,2018-01-19 06:35,29,0.046296296296296294
 (Indio),"2008 Honda Civic ""Low Miles""",2008,Civic,5650,5400,https://palmsprings.craigslist.org/cto/d/2008-honda-civic-low-miles/6463972817.html,2018-01-18 07:06,30,0.046296296296296294
 (Indio),"2008 Honda Civic ""Low Miles""",2008,Civic,5650,5400,https://palmsprings.craigslist.org/cto/d/2008-honda-civic-low-miles/6463972817.html,2018-01-18 07:06,30,0.046296296296296294
 (Hungtington park),2003 honda civic ex,2003,Civic,2700,2554,https://losangeles.craigslist.org/lac/cto/d/2003-honda-civic-ex/6494509859.html,2018-02-15 14:40,2,0.05716523101018011
 (korea town),honda civic lx 2011,2011,Civic,7000,6613,https://losangeles.craigslist.org/lac/cto/d/honda-civic-lx-2011/6482351110.html,2018-02-02 13:14,15,0.05852109481324663
 (Los angeles),Honda civic 2008,2008,Civic,5800,5400,https://losangeles.craigslist.org/lac/cto/d/honda-civic-2008/6470726973.html,2018-01-23 19:31,24,0.07407407407407407
 (Murrieta),2012 Honda Civic HF,2012,Civic,7750,7208,https://inlandempire.craigslist.org/cto/d/2012-honda-civic-hf/6495909756.html,2018-02-13 21:12,3,0.07519422863485016
 (Newport beach),2009 HONDA CIVIC LX COUPE 89000 MILES GAS SAVER $ 5900 OBO,2009,Civic,5900,5470,https://losangeles.craigslist.org/sfv/cto/d/2009-honda-civic-lx/6498044676.html,2018-02-15 16:05,2,0.07861060329067641
