,2011-2013 Consumption Rank,2011 Average Consumption,2012 Average Consumption,2013 Average Consumption
243,244,1460,1517,1107
244,245,1127,1468,1484
245,246,1230,1366,1479
246,247,1042,1252,1778
247,248,1702,1263,1081
248,249,1171,1430,1438
249,250,1276,1485,1276
250,251,1277,1383,1374
251,252,1177,1361,1495
252,253,1271,1542,1217
253,254,397,697,2926
254,255,1233,1606,1181
255,256,1210,1504,1305
256,257,1274,1322,1415
257,258,1550,1312,1124
258,259,1291,1360,1334
259,260,1452,1146,1364
260,261,1433,1496,1031
261,262,1112,941,1891
262,263,185,1862,1890
263,264,982,1817,1130
264,265,1328,1285,1314
265,266,1258,1422,1244
266,267,1418,1270,1230
267,268,1340,1232,1340
268,269,1411,1248,1251
269,270,1104,1470,1325
270,271,1002,1526,1368
271,272,1145,1176,1572
272,273,1827,1042,1018
273,274,1233,1334,1315
274,275,1172,1268,1441
275,276,1063,1475,1335
276,277,1340,1253,1276
277,278,1064,986,1818
278,279,1366,1212,1289
279,280,1560,1142,1156
280,281,1531,1717,600
281,282,1200,1239,1402
282,283,1069,1184,1585
283,284,1238,1318,1279
284,285,1105,1554,1176
285,286,1022,1051,1757
286,287,1329,1648,849
287,288,1011,1286,1525
288,289,1303,1292,1226
289,290,1037,1215,1569
290,291,844,1407,1569
291,292,1150,1061,1604
292,293,1494,1532,786
293,294,1194,1270,1344
294,295,1437,1539,826
295,296,843,1505,1439
296,297,1119,1171,1493
297,298,942,1424,1415
298,299,933,1404,1440
299,300,1009,1387,1372
300,301,1060,1221,1483
301,302,703,479,2576
302,303,935,1324,1489
303,304,1183,1352,1213
304,305,1326,930,1475
305,306,1733,1026,972
306,307,1300,1447,982
307,308,887,1383,1454
308,309,1315,1315,1080
309,310,1054,1243,1412
310,311,1422,1166,1118
311,312,1267,1370,1069
312,313,1131,1298,1275
313,314,1198,1413,1093
314,315,1080,1375,1248
315,316,1217,1142,1320
316,317,1307,1054,1304
317,318,792,1335,1532
318,319,1117,1227,1314
319,320,1103,1442,1103
320,321,1223,1273,1151
321,322,1326,1071,1244
322,323,1076,1390,1161
323,324,1291,1247,1081
324,325,1136,1170,1312
325,326,1170,1247,1200
326,327,993,1119,1495
327,328,1070,1324,1193
328,329,932,1231,1424
329,330,1072,1295,1219
330,331,980,1447,1152
331,332,849,1443,1287
332,333,1265,1094,1211
333,334,0,0,3565
334,335,1115,1033,1410
335,336,777,1345,1431
336,337,1095,1185,1262
337,338,1184,1105,1250
338,339,1207,1220,1105
339,340,987,1234,1305
340,341,1035,1226,1260
341,342,903,1095,1501
342,343,1037,1195,1266
343,344,1194,1185,1115
344,345,1207,1092,1169
345,346,1096,1145,1226
346,347,931,1177,1351
347,348,1053,1080,1313
348,349,1046,1322,1074
349,350,1111,1144,1175
350,351,861,1178,1389
351,352,1120,1185,1117
352,353,1048,1241,1116
353,354,1222,1172,1009
354,355,907,1183,1303
355,356,1048,1329,1013
356,357,922,1557,910
357,358,1229,902,1250
358,359,1039,1247,1090
359,360,1257,1198,920
360,361,1075,1478,819
361,362,1085,1176,1110
362,363,993,1286,1092
363,364,988,1125,1254
364,365,964,1220,1182
365,366,1008,1090,1253
366,367,894,1238,1218
367,368,990,1364,984
368,369,1143,1027,1166
369,370,809,1515,1012
370,371,982,1195,1155
371,372,1059,1173,1099
372,373,1193,894,1227
373,374,1077,1080,1155
374,375,792,1235,1284
375,376,966,1153,1184
376,377,996,1093,1212
377,378,1132,1335,833
378,379,1194,1136,967
379,380,1030,1260,1002
380,381,837,1187,1267
381,382,946,1124,1206
382,383,1251,1049,972
383,384,1136,1081,1054
384,385,935,930,1400
385,386,1121,1040,1102
386,387,965,1238,1058
387,388,983,1190,1082
388,389,920,969,1366
389,390,1175,1311,767
390,391,1266,934,1052
391,392,1034,1299,918
392,393,998,1001,1249
393,394,1224,1166,857
394,395,1043,1101,1092
395,396,1176,1106,951
