Location,Title,Year,Model,Price,URL,Post_Date,Posting_Age,z_score
 (burbank),2005 honda civic,2005,civic,2600,https://losangeles.craigslist.org/sfv/cto/d/2005-honda-civic/6486010576.html,2/5/18 17:02,3,-0.549315306
 (La Habra),Ride the CARPOOL Alone!!!!    2004 Honda Civic GX    CNG Powered!!!!!!,2004,civic,2900,https://orangecounty.craigslist.org/cto/d/ride-the-carpool-alone-2004/6458960313.html,2/5/18 20:05,3,-0.497313226
 (Costa mesa),2003 Honda civic Dx low mileage,2003,civic,4500,https://orangecounty.craigslist.org/cto/d/2003-honda-civic-dx-low/6485892669.html,2/5/18 15:13,3,-0.219968799
 (Hemet),2002 Honda Civic Dx,2002,civic,5500,https://inlandempire.craigslist.org/cto/d/2002-honda-civic-dx/6477662271.html,2/5/18 20:58,3,-0.046628532
 (Acton),2008 Honda civic,2008,civic,6500,https://losangeles.craigslist.org/ant/cto/d/2008-honda-civic/6486320818.html,2/6/18 4:18,3,0.126711735
 (Governor drive),2008 Honda Civic Coupe EX,2008,civic,6500,https://sandiego.craigslist.org/csd/cto/d/2008-honda-civic-coupe-ex/6486128604.html,2/5/18 19:17,3,0.126711735
 (Acton),2008 Honda civic,2008,civic,6500,https://losangeles.craigslist.org/ant/cto/d/2008-honda-civic/6486320818.html,2/6/18 4:18,3,0.126711735
 (L.a),**@2008 HONDA CIVIC LX 4D**NO ACCIDENT*Low 87K**XLNT**SMOG DONE,2008,civic,7050,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-lx-4dno/6474960774.html,2/5/18 15:18,3,0.222048882
 (long  beach),"2009 Honda Civic LX 74,500 Mileage very good condition",2009,civic,7800,https://losangeles.craigslist.org/lgb/cto/d/2009-honda-civic-lxmileage/6476627003.html,2/6/18 10:59,3,0.352054082
 (Oceanside),2008 SI CIVIC LOW MILES ! CUSTOM PAINT CLEAN TITLE 6 SPEED!!,2008,civic,8900,https://sandiego.craigslist.org/csd/cto/d/2008-si-civic-low-miles/6465927570.html,2/6/18 8:54,3,0.542728376
 (Palmdale),2008 Honda Civic,2008,civic,4500,https://losangeles.craigslist.org/ant/cto/d/2008-honda-civic/6464151494.html,2/4/18 17:05,4,-0.219968799
 (Palmdale),2008 Honda Civic,2008,civic,4500,https://losangeles.craigslist.org/ant/cto/d/2008-honda-civic/6464151494.html,2/4/18 17:05,4,-0.219968799
 (Bell gardens),2008 Honda Civic,2008,civic,4900,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic/6477509187.html,2/5/18 15:09,4,-0.150632692
 (Bell gardens),2008 Honda Civic,2008,civic,4900,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic/6477509187.html,2/5/18 15:09,4,-0.150632692
 (Montclair),2006 Honda civic ex coupe,2006,civic,5500,https://inlandempire.craigslist.org/cto/d/2006-honda-civic-ex-coupe/6485346405.html,2/5/18 9:02,4,-0.046628532
 (Carlsbad),2006 Honda Civic Sedan,2006,civic,6700,https://sandiego.craigslist.org/nsd/cto/d/2006-honda-civic-sedan/6485543658.html,2/5/18 11:06,4,0.161379789
 (Temecula),2009 Honda Civic,2009,civic,7000,https://inlandempire.craigslist.org/cto/d/2009-honda-civic/6485144765.html,2/5/18 6:38,4,0.213381869
 (Temecula),2009 Honda Civic,2009,civic,7000,https://inlandempire.craigslist.org/cto/d/2009-honda-civic/6485144765.html,2/5/18 6:38,4,0.213381869
 (CORONA),"2007 HONDA CIVIC EX WITH ONLY 72,500 MILES",2007,civic,7700,https://sandiego.craigslist.org/csd/cto/d/2007-honda-civic-ex-with/6482772454.html,2/4/18 20:42,4,0.334720055
 (EASTVALE),"2007 HONDA CIVIC EX - WITH ONLY 72,500 MILES",2007,civic,7700,https://orangecounty.craigslist.org/cto/d/2007-honda-civic-ex-with/6482772814.html,2/4/18 20:43,4,0.334720055
 (EASTVALE),"2007 HONDA CIVIC EX WITH ONLY 72,500 MILES",2007,civic,7700,https://inlandempire.craigslist.org/cto/d/2007-honda-civic-ex-with/6482773199.html,2/4/18 20:43,4,0.334720055
 (EASTVALE),"2007 HONDA CIVIC EX WITH ONLY 72,500 MILES",2007,civic,7700,https://inlandempire.craigslist.org/cto/d/2007-honda-civic-ex-with/6482773199.html,2/4/18 20:43,4,0.334720055
 (EASTVALE),"2007 HONDA CIVIC EX - WITH ONLY 72,500 MILES",2007,civic,7700,https://orangecounty.craigslist.org/cto/d/2007-honda-civic-ex-with/6482772814.html,2/4/18 20:43,4,0.334720055
 (EASTVALE),"2007 HONDA CIVIC EX WITH ONLY 72,500 MILES",2007,civic,7700,https://inlandempire.craigslist.org/cto/d/2007-honda-civic-ex-with/6482773199.html,2/4/18 20:43,4,0.334720055
 (Santa Monica),Honda Civic 2002,2002,civic,1700,https://losangeles.craigslist.org/wst/cto/d/honda-civic-2002/6483967579.html,2/3/18 21:11,5,-0.705321546
 (Tustin),Honda Civic 2004 low mileage,2004,civic,5900,https://orangecounty.craigslist.org/cto/d/honda-civic-2004-low-mileage/6478816764.html,2/3/18 21:18,5,0.022707575
 (Glendale),*@@*2008 HONDA CIVIC LX 4D**NO ACCIDENT*Low 81K**XLNT*SMOG DONE -,2008,civic,8500,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-lx-4dno/6483757217.html,2/3/18 16:07,5,0.473392269
 (el monte),2006 COBALT SS SUPERCHARGED / CIVIC SI RSX MIATA S2000 240SX STI EVO,2006,civic,3500,https://inlandempire.craigslist.org/cto/d/2006-cobalt-ss-supercharged/6453820837.html,2/3/18 9:34,6,-0.393309066
 (FULLERTON),2003 HONDA CIVIC GX ( LOW MILEAGE 037268 ),2003,civic,4900,https://orangecounty.craigslist.org/cto/d/2003-honda-civic-gx-low/6483677273.html,2/3/18 14:48,6,-0.150632692
 (Upland),2008 Honda civic coupe  $5500,2008,civic,5500,https://inlandempire.craigslist.org/cto/d/2008-honda-civic-coupe-5500/6466078587.html,2/3/18 5:40,6,-0.046628532
 (Virginia),HONDA Civic 2009 CNG 26k miles,2009,civic,6000,https://sandiego.craigslist.org/csd/cto/d/honda-civic-2009-cng-26k-miles/6483381270.html,2/3/18 10:58,6,0.040041602
 (Pacific Beach),2008 Honda Civic,2008,civic,6200,https://sandiego.craigslist.org/csd/cto/d/2008-honda-civic/6449083905.html,2/2/18 17:30,6,0.074709655
 (Pacific Beach),2008 Honda Civic,2008,civic,6200,https://sandiego.craigslist.org/csd/cto/d/2008-honda-civic/6449083905.html,2/2/18 17:30,6,0.074709655
 (irvine),2007 Honda Civic EX,2007,civic,6500,https://orangecounty.craigslist.org/cto/d/2007-honda-civic-ex/6482784966.html,2/2/18 20:44,6,0.126711735
 (irvine),2007 Honda Civic EX,2007,civic,6500,https://orangecounty.craigslist.org/cto/d/2007-honda-civic-ex/6482784966.html,2/2/18 20:44,6,0.126711735
 (Baldwin Park),2009 Honda Civic Si Coupe,2009,civic,7999,https://losangeles.craigslist.org/lac/cto/d/2009-honda-civic-si-coupe/6471627951.html,2/2/18 22:18,6,0.386548795
 (o c),"2003 HONDA CIVIC LX, HYBRID,, LOW MILES 098168 ON IT 2018 TAGS",2003,civic,1400,https://orangecounty.craigslist.org/cto/d/2003-honda-civic-lx-hybrid/6475204183.html,2/1/18 15:54,7,-0.757323626
 (FULLERTON),2003 HONDA CIVIC GX ( LOW MILEAGE 026146 ),2003,civic,5500,https://orangecounty.craigslist.org/cto/d/2003-honda-civic-gx-low/6482428112.html,2/2/18 14:09,7,-0.046628532
" (Vista, CA)",2007 Honda Civic Si Coupe,2007,civic,7700,https://sandiego.craigslist.org/nsd/cto/d/2007-honda-civic-si-coupe/6468272658.html,2/2/18 10:58,7,0.334720055
 (Downey),2005 honda civic lx,2005,civic,5600,https://losangeles.craigslist.org/lgb/cto/d/2005-honda-civic-lx/6469240701.html,1/31/18 19:18,8,-0.029294505
 (Los Angeles),2008 Honda Civic,2008,civic,3900,https://losangeles.craigslist.org/lgb/cto/d/2008-honda-civic/6478903818.html,1/30/18 16:14,9,-0.323972959
 (Los Angeles),2008 Honda Civic Sedan,2008,civic,3900,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-sedan/6476203644.html,1/30/18 16:15,9,-0.323972959
 (Los Angeles),2008 Honda Civic,2008,civic,3900,https://losangeles.craigslist.org/lgb/cto/d/2008-honda-civic/6478903818.html,1/30/18 16:14,9,-0.323972959
 (Eastvale),2007 Honda Civic ex,2007,civic,5500,https://inlandempire.craigslist.org/cto/d/2007-honda-civic-ex/6479199689.html,1/31/18 0:33,9,-0.046628532
 (Rancho San Diego),"2007 Honda Civic LX Excellent Condition, Low Miles!",2007,civic,6500,https://sandiego.craigslist.org/esd/cto/d/2007-honda-civic-lx-excellent/6475914246.html,1/30/18 15:36,9,0.126711735
 (North Hollywood),Honda Civic Coupe!! 2005 Stick Shift!,2005,civic,3800,https://losangeles.craigslist.org/lac/cto/d/honda-civic-coupe-2005-stick/6469562434.html,1/30/18 11:36,10,-0.341306986
 (Gg),Honda Civic ex 2007,2007,civic,6700,https://orangecounty.craigslist.org/cto/d/honda-civic-ex-2007/6477732055.html,1/29/18 17:26,10,0.161379789
 (Pacific Beach),*LOW MILES*2008 Honda Civic 4Dr Ex-L Navi,2008,civic,7500,https://sandiego.craigslist.org/csd/cto/d/low-miles2008-honda-civic-4dr/6456674770.html,1/29/18 16:56,10,0.300052002
 (o c),"2003 HONDA CIVIC LX, HYBRID,, LOW MILES 098168 ON IT 2018 TAGS",2003,civic,1400,https://orangecounty.craigslist.org/cto/d/2003-honda-civic-lx-hybrid/6473922999.html,1/29/18 10:45,11,-0.757323626
 (Escondido),2002 Honda Civic EX coupe for sale - low miles,2002,civic,2750,https://sandiego.craigslist.org/nsd/cto/d/2002-honda-civic-ex-coupe-for/6477489972.html,1/29/18 13:55,11,-0.523314266
 (Murrieta),2006 Honda Civic EX,2006,civic,5500,https://inlandempire.craigslist.org/cto/d/2006-honda-civic-ex/6476357132.html,1/28/18 15:15,11,-0.046628532
 (Eastvale),2007 Honda Civic EX,2007,civic,5600,https://inlandempire.craigslist.org/cto/d/2007-honda-civic-ex/6476720122.html,1/29/18 1:53,11,-0.029294505
 (Adelanto CA),Honda Civic LX 2001,2001,civic,4500,https://inlandempire.craigslist.org/cto/d/honda-civic-lx-2001/6475127512.html,1/27/18 12:43,13,-0.219968799
 (Torrance),Honda civic 2007,2007,civic,5900,https://losangeles.craigslist.org/wst/cto/d/honda-civic-2007/6471998765.html,1/27/18 9:29,13,0.022707575
 (Riverside),2007 Honda civic,2007,civic,6000,https://inlandempire.craigslist.org/cto/d/2007-honda-civic/6444380481.html,1/26/18 18:46,13,0.040041602
 (Long Beach),2007 Honda Civic LX,2007,civic,5500,https://losangeles.craigslist.org/lgb/cto/d/2007-honda-civic-lx/6473319067.html,1/26/18 4:18,14,-0.046628532
 (Carlsbad),"2-owner, clean title, 71k miles 2008 Honda Civic",2008,civic,7750,https://sandiego.craigslist.org/nsd/cto/d/2-owner-clean-title-71k-miles/6448483205.html,1/26/18 13:49,14,0.343387069
 (Santee),2008 Honda Civic SI VTEC,2008,civic,8500,https://sandiego.craigslist.org/esd/cto/d/2008-honda-civic-si-vtec/6473156670.html,1/25/18 19:42,14,0.473392269
 (Idyllwild),2008 honda civic,2008,civic,4300,https://inlandempire.craigslist.org/cto/d/2008-honda-civic/6441147466.html,1/25/18 12:04,15,-0.254636852
 (Monterey Park),2004 Honda Civic,2004,civic,2000,https://losangeles.craigslist.org/lac/cto/d/2004-honda-civic/6471705724.html,1/24/18 15:03,16,-0.653319466
 (Culver City),"2003 2003 Honda Civic !! ONLY 90k MILES !! clean title, hablo espa̱ol",2003,civic,2800,https://losangeles.craigslist.org/wst/cto/d/honda-civic-only-90k-miles/6444501780.html,1/23/18 15:43,16,-0.514647253
 (Los angeles),Honda civic 2008,2008,civic,5800,https://losangeles.craigslist.org/lac/cto/d/honda-civic-2008/6470726973.html,1/23/18 19:31,16,0.005373548
 (Lawndale),Honda Civic Si 2009,2009,civic,12500,https://losangeles.craigslist.org/wst/cto/d/honda-civic-si-2009/6470817035.html,1/23/18 22:22,16,1.166753337
 (Murrieta CA),"2004 Honda Civic LX - Excellent Condition, Low Mileage",2004,civic,4800,https://inlandempire.craigslist.org/cto/d/2004-honda-civic-lx-excellent/6469382565.html,1/22/18 17:31,17,-0.167966719
 (Temecula),"2005 Honda Civic EX 4door 77,000 miles clean Title",2005,civic,7000,https://inlandempire.craigslist.org/cto/d/2005-honda-civic-ex/6467950042.html,1/21/18 14:22,19,0.213381869
 (whittier),2005 Honda Civic LX,2005,civic,5800,https://losangeles.craigslist.org/lgb/cto/d/2005-honda-civic-lx/6461253127.html,1/19/18 16:35,20,0.005373548
 (El Cajon),2008 civic Si,2008,civic,8500,https://sandiego.craigslist.org/csd/cto/d/2008-civic-si/6466292935.html,1/20/18 5:45,20,0.473392269
 (Monterey park),2004 Honda Civic,2004,civic,2400,https://losangeles.craigslist.org/lac/cto/d/2004-honda-civic/6464656757.html,1/18/18 15:22,21,-0.583983359
 (Indio),2008 Honda Civic,2008,civic,5650,https://losangeles.craigslist.org/lgb/cto/d/2008-honda-civic/6465133577.html,1/19/18 6:35,21,-0.020627492
 (Indio),2008 Honda Civic,2008,civic,5650,https://losangeles.craigslist.org/lgb/cto/d/2008-honda-civic/6465133577.html,1/19/18 6:35,21,-0.020627492
 (Riverside/Moreno Valley),2009 Honda Civic ex,2009,civic,7500,https://inlandempire.craigslist.org/cto/d/2009-honda-civic-ex/6465397213.html,1/19/18 9:48,21,0.300052002
 (Riverside),2003 Honda Civic,2003,civic,3200,https://inlandempire.craigslist.org/cto/d/2003-honda-civic/6463849460.html,1/18/18 4:24,22,-0.445311146
 (Indio),"2008 Honda Civic ""Low Miles""",2008,civic,5650,https://palmsprings.craigslist.org/cto/d/2008-honda-civic-low-miles/6463972817.html,1/18/18 7:06,22,-0.020627492
 (Indio),"2008 Honda Civic ""Low Miles""",2008,civic,5650,https://palmsprings.craigslist.org/cto/d/2008-honda-civic-low-miles/6463972817.html,1/18/18 7:06,22,-0.020627492
 (torrance),honda civic lx 2009,2009,civic,5500,https://losangeles.craigslist.org/wst/cto/d/honda-civic-lx-2009/6460047944.html,1/14/18 21:10,25,-0.046628532
 (San Gabriel),2008 Honda Civic Clearn Title 95000 miles,2008,civic,5950,https://losangeles.craigslist.org/sgv/cto/d/2008-honda-civic-clearn/6459899960.html,1/14/18 17:26,25,0.031374588
 (Fontana),2006 Honda Civic SI,2006,civic,7500,https://inlandempire.craigslist.org/cto/d/2006-honda-civic-si/6458991877.html,1/15/18 10:00,25,0.300052002
 (Rancho Cucamonga),2008 Honda Civic EX,2008,civic,7500,https://inlandempire.craigslist.org/cto/d/2008-honda-civic-ex/6459956544.html,1/14/18 18:42,25,0.300052002
 (UTC),2007 HONDA CIVIC 4dr AUTO  < 50K miles - GREAT Condition!,2007,civic,9999,https://sandiego.craigslist.org/nsd/cto/d/2007-honda-civic-4dr-auto-50k/6459044598.html,1/13/18 21:25,26,0.733229329
" (Riverside, CA (Lake Hills Area))",2002 Honda Civic GX - NEW ENGINE & TRANSMISSION! (CNG/NGV/Natural Gas),2002,civic,3500,https://inlandempire.craigslist.org/cto/d/2002-honda-civic-gx-new/6426010991.html,1/12/18 17:36,27,-0.393309066
 (Anahiem),Civic honda for sale 2004 CNG POWERED LOW MILES,2004,civic,4900,https://inlandempire.craigslist.org/cto/d/civic-honda-for-sale-2004-cng/6457736933.html,1/12/18 17:03,27,-0.150632692
-626,2005 Honda Civic EX-L,2005,civic,12899,https://losangeles.craigslist.org/sgv/cto/d/2005-honda-civic-ex/6456463793.html,1/11/18 16:11,28,1.235916103
 (Escondido),2004 Honda Civic EX,2004,civic,3200,https://sandiego.craigslist.org/csd/cto/d/2004-honda-civic-ex/6453946081.html,1/9/18 15:21,30,-0.445311146
 (Rancho cucamonga),2007 Honda Civic SI with alot of mods,2007,civic,11500,https://inlandempire.craigslist.org/cto/d/2007-honda-civic-si-with-alot/6454123446.html,1/9/18 18:26,30,0.99341307
 (Long Beach),2008 Honda Civic Si,2008,civic,8995,https://losangeles.craigslist.org/wst/cto/d/2008-honda-civic-si/6422859093.html,1/9/18 12:46,31,0.559195701
